track_id,song_id,artist_id,artist_name,song_title,genre,song_1,song_2,song_3,centered_song_1,centered_song_2,centered_song_3,corr_song_1,corr_song_2,corr_song_3,cos_song_1,cos_song_2,cos_song_3,tfidf_dot_1,tfidf_dot_2,tfidf_dot_3,tfidf_centered_1,tfidf_centered_2,tfidf_centered_3,tfidf_corr_1,tfidf_corr_2,tfidf_corr_3,tfidf_cos_1,tfidf_cos_2,tfidf_cos_3
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,Interlude 5,I'm A Winner (Amended Album Version),Hot N Cold (Innerpartysystem Main),Interlude 5,I'm A Winner (Amended Album Version),Hot N Cold (Innerpartysystem Main),You're All The World To Me,You're The Top,You're A Soldier,You're All The World To Me,You're The Top,You're A Soldier,Happy Boys & Girls,Angel,Being With You,Happy Boys & Girls,Being With You,Baby Be Mine,These Arms Of Mine,Please Baby,Baby Be Mine,These Arms Of Mine,Please Baby,Baby Be Mine
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,I Mean (I Don't Mean It),I Mean (I Don't Mean It),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Plastic World,The Ups And Downs,Keep Moving,Plastic World,The Ups And Downs,Keep Moving,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Honest Expression,Fire and Heights,Mainstream,Never Gonna Give You Up,Never Gonna Give You Up,Fire and Heights,Jerusalem,Fire and Heights,Never Gonna Give You Up,Jerusalem
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Preacher On A Sunday Morning,Ready For The Weekend,Beyond Salvation,Preacher On A Sunday Morning,Ready For The Weekend,Beyond Salvation,Interlude 5,If I Had,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),If I Had,Interlude 5,Say Now,Half Right,Hades Lady,Sad Lover's Waltz,Half Right,If I Had,Half Of My Mistakes
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I Want You,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I Want You,All I Do,Overjoyed,Day And Night,All I Do,Overjoyed,Day And Night,Ear Drums Pop,1st Booty On Duty,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Ear Drums Pop,Let's All Get Drunk,1st Booty On Duty,Here We Go,Don't Stop,Disco,Here We Go,Don't Stop,Here I Am (Come And Take Me)
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Hook,I Don't Want To Talk About It,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Hook,I Don't Want To Talk About It,Interlude 5,Man In The Mirror,Honest Expression,Man In The Mirror,Interlude 5,Honest Expression,The Way It Is,Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),Oh Well,Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),Interlude 5,The Way It Is
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,I'm A Winner (Amended Album Version),I Want You,G Up,Club Megamix,Hook,G Up,Club Megamix,Hook,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Just Right,Just Right,I'm Gon' Change,Oh Baby I,Just Right,Oh Baby I,5:19,Just Right,Oh Baby I,5:19
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Runaway,The Car Song,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,Runaway,The Car Song,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,8 Mile,Man In The Mirror,Da Mystery Of Chessboxin',Man In The Mirror,Dreams,Living For Today,What Can I Say,Dreams,Time To Grow,What Can I Say,Time To Grow,Dreams
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Interlude 5,I'm A Winner (Amended Album Version),Man In The Mirror,Interlude 5,I'm A Winner (Amended Album Version),Man In The Mirror,Bad Tattoo,Dimples,Only You,Bad Tattoo,Dimples,Only You,Interlude 5,Hey Ya!,She Ain't Afraid,Hey Ya!,Interlude 5,Alright,Bonin' In The Boneyard,Rockin' Pneumonia,Baby Help Me,Bonin' In The Boneyard,Rockin' Pneumonia,Baby Help Me
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I Mean (I Don't Mean It),I Mean (I Don't Mean It),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I Wanna Know,I Don't Know Where I'm Bound,I Am Not A Whore,16,I Don't Know Where I'm Bound,I Am Not A Whore,16,Otha Fish,8 Mile,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Land Of The Free,13 Months Of Sunshine,Otha Fish,13 Months Of Sunshine,Sufferin' In The Land,Masters Of Revenge,13 Months Of Sunshine,Sufferin' In The Land,Elephant Clouds
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,Interlude 5,I'm A Winner (Amended Album Version),Man In The Mirror,Interlude 5,I'm A Winner (Amended Album Version),My Darling,Give Me You,The Stranger Song,New Project,The Stranger Song,Give Me You,New Project,She Got Kids,Brotha,Find A Way,She Got Kids,Brotha,Gehenna,Outside The Trains Don't Run On Time,Brotha,GO,Outside The Trains Don't Run On Time,Brotha,GO
